County,Industry,2022 Total Sales,2022 4% Sales,2022 Non-4% Sales,2023 Total Sales,2023 Total Sales YoY Profit Change,2023 Total Sales YoY Growth Rate (%),2023 4% Sales,2023 4% Sales YoY Profit Change,2023 4% Sales YoY Growth Rate (%),2023 Non-4% Sales,2023 Non-4% Sales YoY Profit Change,2023 Non-4% Sales YoY Growth Rate (%),2024 Total Sales,2024 Total Sales YoY Profit Change,2024 Total Sales YoY Growth Rate (%),2024 4% Sales,2024 4% Sales YoY Profit Change,2024 4% Sales YoY Growth Rate (%),2024 Non-4% Sales,2024 Non-4% Sales YoY Profit Change,2024 Non-4% Sales YoY Growth Rate (%),2022 Total Use Tax,2022 4% Use Tax,2022 Non-4% Use Tax,2023 Total Use Tax,2023 Total Use YoY Profit Change,2023 Total Use YoY Growth Rate (%),2023 4% Use Tax,2023 4% Use YoY Profit Change,2023 4% Use YoY Growth Rate (%),2023 Non-4% Use Tax,2023 Non-4% Use YoY Profit Change,2023 Non-4% Use YoY Profit Change,2024 Total Use Tax,2024 Total Use YoY Profit Change,2024 Total Use YoY Growth Rate (%),2024 4% Use Tax,2024 4% Use YoY Profit Change,2024 4% Use YoY Growth Rate (%),2024 Non-4% Use Tax,2024 Non-4% Use YoY Profit Change,2024 4% Use YoY Growth Rate (%)
Albany,"Agr, Forestry, Fishing, & Hunting",48338,32193,16145,43643,-4695,-9.712855311,29047,-3146,-9.772310751,14596,-1549,-9.594301641,43958,315,0.7217652315,29275,228,0.7849347609,14683,87,0.5960537133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany,Mining,418495,278814,139681,115484,-303011,-72.40492718,76713,-202101,-72.48595838,38771,-100910,-72.24318268,161359,45875,39.72411763,107224,30511,39.77291984,54135,15364,39.62755668,70259,46693,23566,35238,-35021,-49.84557139,23454,-23239,-49.76977277,11784,-11782,-49.9957566,72639,37401,106.1382598,48250,24796,105.7218385,24389,12605,106.967074
Albany,Utilities,1619654,1078521,541133,10326453,8706799,537.5715431,6882593,5804072,538.151042,3443860,2902727,536.4165556,25283794,14957341,144.8449046,16853753,9971160,144.8750493,8430041,4986181,144.7846602,8088,5382,2706,3980,-4108,-50.79129575,2653,-2729,-50.70605723,1327,-1379,-50.96082779,13526,9546,239.8492462,9017,6364,239.8793818,4509,3182,239.7889977
Albany,Construction,292918,194428,98490,203056,-89862,-30.67821028,134834,-59594,-30.65093505,68222,-30268,-30.73205402,523394,320338,157.7584509,347502,212668,157.7257962,175892,107670,157.8229897,459344,305936,153408,486661,27317,5.946959142,324254,18318,5.987526803,162407,8999,5.866056529,369026,-117635,-24.1718568,245929,-78325,-24.15544604,123097,-39310,-24.20462172
Albany,Manufacturing,667183,443160,224023,444366,-222817,-33.39668427,294831,-148329,-33.47075548,149535,-74488,-33.25015735,998690,554324,124.7449175,663322,368491,124.9838043,335368,185833,124.2739158,10451,6954,3497,12326,1875,17.9408669,8201,1247,17.9321254,4125,628,17.95824993,16095,3769,30.57764076,10673,2472,30.14266553,5422,1297,31.44242424
Albany,Wholesale Trade,1593566,1057691,535875,1795756,202190,12.6878962,1192641,134950,12.75892487,603115,67240,12.54770236,2170366,374610,20.86085192,1441407,248766,20.85841423,728959,125844,20.86567238,33226,22048,11178,28654,-4572,-13.76030819,19007,-3041,-13.79263425,9647,-1531,-13.69654679,24410,-4244,-14.81119564,16168,-2839,-14.9366023,8242,-1405,-14.5641132
Albany,Retail Trade,22393681,14889340,7504341,23776934,1383253,6.176979122,15807814,918474,6.168668322,7969120,464779,6.193468554,26461188,2684254,11.2893193,17592618,1784804,11.29064398,8868570,899450,11.28669163,442758,294569,148189,586137,143379,32.38315287,389681,95112,32.28853002,196456,48267,32.57124348,1140719,554582,94.61644633,758254,368573,94.58326169,382465,186009,94.68226982
Albany,Transportation & Warehousing,44565,29525,15040,58631,14066,31.56288567,38846,9321,31.56985605,19785,4745,31.54920213,59593,962,1.640770241,39474,628,1.616640066,20119,334,1.688147587,116458,77511,38947,233971,117513,100.905906,155979,78468,101.2346635,77992,39045,100.251624,234070,99,0.04231293622,155957,-22,-0.01410446278,78113,121,0.1551441173
Albany,Information,665204,442031,223173,629980,-35224,-5.295217708,418682,-23349,-5.282208714,211298,-11875,-5.320984169,611091,-18889,-2.998349154,405993,-12689,-3.030701105,205098,-6200,-2.934244527,27765,18477,9288,34079,6314,22.7408608,22660,4183,22.63895654,11419,2131,22.94358312,3983,-30096,-88.31245048,2633,-20027,-88.380406,1350,-10069,-88.17759874
Albany,Financial Activities*,1024950,680721,344229,674690,-350260,-34.17337431,447572,-233149,-34.25030225,227118,-117111,-34.02124748,1205228,530538,78.63433577,800616,353044,78.87982269,404612,177494,78.1505649,16771,11081,5690,12957,-3814,-22.74163735,8579,-2502,-22.5791896,4378,-1312,-23.05799649,17095,4138,31.93640503,11348,2769,32.2764891,5747,1369,31.2699863
