County,naics_desc,naics_code,2023 Jobs,2023 Total Retail,2023 4% Retail,2023 Lodging,2023 General Purpose Sales,2023 General Purpose Use,2023 Specific Purpose Sales,2023 Specific Purpose Use,Resort District Sales,Resort Disctrict Use,Economic Development Sales,Economic Development Use,State Sales,State Use,Lodging Assessment,Total
Albany,AUTOMOBILE DEALERS,4411,203.3333,"350,677","233,044",,"58,816.00",144,"58,816.00",144,,,,,"233,044.00",565,,"351,530.00"
Albany,OTHER MOTOR VEHICLE DEALERS,4412,68.25,"414,424","274,867","2,520.00","69,779.00",,"69,779.00",,,,,,"274,867.00",,"1,871.00","418,816.00"
Albany,"AUTO PARTS, ACCESSORIES, AND TIRE STORES",4413,69.16667,"1,384,384","919,582",,"232,401.00","2,699.00","232,401.00","2,699.00",,,,,"919,582.00","10,769.00",,"1,400,552.00"
Albany,FURNITURE STORES,4421,,"285,223","189,134",,"48,045.00",52,"48,045.00",52,,,,,"189,134.00",201,,"285,528.00"
Albany,HOME FURNISHINGS STORES,4422,,"187,134","124,082",,"31,526.00","8,192.00","31,526.00","8,192.00",,,,,"124,082.00","32,042.00",,"235,559.00"
Albany,ELECTRONICS AND APPLIANCE STORES,4431,,"987,235","656,271",4,"165,482.00","4,093.00","165,482.00","4,093.00",,,,,"656,271.00","16,183.00",3,"1,011,611.00"
Albany,BUILDING MATERIAL AND SUPPLIES DEALERS,4441,76.21679,"3,512,394","2,331,753",,"590,320.00","35,576.00","590,320.00","35,576.00",,,,,"2,331,753.00","140,665.00",,"3,724,211.00"
Albany,LAWN AND GARDEN EQUIPMENT AND SUPPLIES STORES,4442,52.44988,"114,190","75,659",,"19,266.00","6,645.00","19,266.00","6,645.00",,,,,"75,659.00","26,482.00",,"153,963.00"
Albany,GROCERY STORES,4451,202.4167,"776,159","516,733","3,334.00","129,713.00","1,588.00","129,713.00","1,588.00",,,,,"516,733.00","6,318.00","2,495.00","791,483.00"
Albany,SPECIALTY FOOD STORES,4452,22.58333,"161,330","107,436",,"26,947.00",159,"26,947.00",159,,,,,"107,436.00",627,,"162,275.00"
Albany,"BEER, WINE, AND LIQUOR STORES",4453,36.58333,"653,503","433,495",,"110,004.00",51,"110,004.00",51,,,,,"433,495.00",203,,"653,807.00"
Albany,HEALTH AND PERSONAL CARE STORES,4461,,"281,679","186,744",,"47,468.00",576,"47,468.00",576,,,,,"186,744.00","2,265.00",,"285,097.00"
Albany,GASOLINE STATIONS,4471,,"1,752,315","1,165,710","4,252.00","293,302.00","2,243.00","293,302.00","2,243.00",,,,,"1,165,710.00","8,930.00","3,119.00","1,773,103.00"
Albany,CLOTHING STORES,4481,,"536,230","355,601",,"90,315.00",199,"90,315.00",199,,,,,"355,601.00",778,,"537,407.00"
Albany,SHOE STORES,4482,,"65,405","43,203",,"11,101.00",1,"11,101.00",1,,,,,"43,203.00",4,,"65,410.00"
Albany,"JEWELRY, LUGGAGE, AND LEATHER GOODS STORES",4483,,"57,690","38,372",,"9,659.00",1,"9,659.00",1,,,,,"38,372.00",6,,"57,699.00"
Albany,SPORTING GOODS AND MUSICAL INSTRUMENT STORES,4511,,"494,515","328,637",,"82,939.00",322,"82,939.00",322,,,,,"328,637.00","1,286.00",,"496,445.00"
Albany,"BOOK, PERIODICAL, AND MUSIC STORES",4512,,"52,546","34,814",4,"8,866.00",39,"8,866.00",39,,,,,"34,814.00",155,3,"52,786.00"
Albany,DEPARTMENT STORES,4521,,"51,627","34,385",,"8,621.00",,"8,621.00",,,,,,"34,385.00",,,"51,627.00"
Albany,OTHER GENERAL MERCHANDISE STORES,4529,,"4,267,998","2,844,024",,"711,987.00","28,734.00","711,987.00","28,734.00",,,,,"2,844,024.00","114,893.00",,"4,440,360.00"
Albany,FLORISTS,4531,,"57,420","38,043",,"9,689.00",,"9,689.00",,,,,,"38,043.00",,,"57,420.00"
Albany,"OFFICE SUPPLIES, STATIONERY, AND GIFT STORES",4532,,"334,946","221,955","2,313.00","56,495.00",372,"56,495.00",372,,,,,"221,955.00","1,475.00","1,673.00","341,151.00"
Albany,USED MERCHANDISE STORES,4533,,"180,145","119,389",417,"30,378.00",313,"30,378.00",313,,,,,"119,389.00","1,214.00",313,"182,713.00"
Albany,OTHER MISCELLANEOUS STORE RETAILERS,4539,,"889,818","591,320",,"149,249.00","4,055.00","149,249.00","4,055.00",,,,,"591,320.00","16,033.00",,"913,961.00"
Albany,ELECTRONIC SHOPPING AND MAILORDER HOUSES,4541,,"4,815,080","3,202,181",,"806,451.00","1,151.00","806,448.00","1,151.00",,,,,"3,202,181.00","4,544.00",,"4,821,926.00"
Albany,VENDING MACHINE OPERATORS,4542,,"1,907","1,271","1,022.00",318,,318,,,,,,"1,271.00",,764,"3,692.00"
Albany,DIRECT SELLING ESTABLISHMENTS,4543,,"1,110,959","740,110",,"185,425.00","1,021.00","185,425.00","1,021.00",,,,,"740,110.00","4,044.00",,"1,117,044.00"
